color = { 179  160  108 }
graphical_culture = IndianGC


party = {
	name = "FRA_gen_reactionary"
	start_date = 1800.1.1
	end_date = 1860.1.1

	ideology = reactionary

	economic_policy = state_capitalism
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = residency
	war_policy = jingoism
}

party = {
	name = "FRA_gen_traditionalist"
	start_date = 1800.1.1
	end_date = 1860.1.1

	ideology = agrarianist

	economic_policy = agrarianism_ep
	trade_policy = protectionism
	religious_policy = secularized
	citizenship_policy = residency
	war_policy = jingoism
}

party = {
	name = "FRA_gen_traditionalist_1"
	start_date = 1860.1.1
	end_date = 1870.1.1

	ideology = agrarianist

	economic_policy = agrarianism_ep
	trade_policy = mercantilism
	religious_policy = secularized
	citizenship_policy = residency
	war_policy = jingoism
}

party = {
	name = "FRA_gen_liberal"
	start_date = 1800.1.1
	end_date = 1860.1.1

	ideology = liberal

	economic_policy = laissez_faire
	trade_policy = protectionism
	religious_policy = pluralism
	citizenship_policy = full_citizenship
	war_policy = anti_military
}

party = {
	name = "FRA_gen_conservative"
	start_date = 1800.1.1
	end_date = 1860.1.1

	ideology = conservative

	economic_policy = interventionism
	trade_policy = protectionism
	religious_policy = secularized
	citizenship_policy = full_citizenship
	war_policy = pro_military
}

party = {
	name = "FRA_gen_reactionary_2"
	start_date = 1860.1.1
	end_date = 1870.1.1

	ideology = reactionary

	economic_policy = state_capitalism
	trade_policy = mercantilism
	religious_policy = moralism
	citizenship_policy = residency
	war_policy = jingoism
}

party = {
	name = "FRA_gen_liberal_2"
	start_date = 1860.1.1
	end_date = 1870.1.1

	ideology = liberal

	economic_policy = laissez_faire
	trade_policy = mercantilism
	religious_policy = pluralism
	citizenship_policy = full_citizenship
	war_policy = anti_military
}

party = {
	name = "FRA_gen_conservative_2"
	start_date = 1860.1.1
	end_date = 1870.1.1

	ideology = conservative

	economic_policy = interventionism
	trade_policy = mercantilism
	religious_policy = secularized
	citizenship_policy = full_citizenship
	war_policy = pro_military
}

party = {
	name = "FRA_gen_socialist_1"
	start_date = 1860.1.1
	end_date = 1870.1.1

	ideology = socialist

	economic_policy = planned_economy
	trade_policy = mercantilism
	religious_policy = secularized
	citizenship_policy = limited_citizenship
	war_policy = pacifism
}

party = {
	name = "FRA_gen_reactionary_3"
	start_date = 1870.1.1
	end_date = 2000.1.1

	ideology = reactionary

	economic_policy = state_capitalism
	trade_policy = free_trade
	religious_policy = moralism
	citizenship_policy = residency
	war_policy = jingoism
}

party = {
	name = "FRA_gen_liberal_3"
	start_date = 1870.1.1
	end_date = 2000.1.1

	ideology = liberal

	economic_policy = laissez_faire
	trade_policy = free_trade
	religious_policy = pluralism
	citizenship_policy = full_citizenship
	war_policy = anti_military
}

party = {
	name = "FRA_gen_conservative_3"
	start_date = 1870.1.1
	end_date = 2000.1.1

	ideology = conservative

	economic_policy = interventionism
	trade_policy = free_trade
	religious_policy = secularized
	citizenship_policy = full_citizenship
	war_policy = pro_military
}

party = {
	name = "FRA_gen_socialist_2"
	start_date = 1870.1.1
	end_date = 2000.1.1

	ideology = socialist

	economic_policy = planned_economy
	trade_policy = free_trade
	religious_policy = secularized
	citizenship_policy = limited_citizenship
	war_policy = pacifism
}


party = {
	name = "FRA_gen_communist"
	start_date = 1870.1.1
	end_date = 2000.1.1

	ideology = communist

	economic_policy = planned_economy
	trade_policy = free_trade
	religious_policy = pro_atheism
	citizenship_policy = full_citizenship
	war_policy = pro_military
}

party = {
	name = "FRA_gen_fascist"
	start_date = 1905.1.1
	end_date = 2000.1.1

	ideology = fascist

	economic_policy = state_capitalism
	trade_policy = free_trade
	religious_policy = moralism
	citizenship_policy = residency
	war_policy = jingoism
}


unit_names = {
	dreadnought = {
	"Рамаварма"
	"Адитьяварма"
	"Равиварма"
	"Баларама Варма"
	"Сватхи Тхирунал"
	"Утхрам Тхирунал"
	"Висакхам Тхирунал"
}


	cruiser = {
	"Амар"
	"Анил"
	"Асим"
	"Бхавеш"
	"Чандрахас"
	"Дхирендра"
	"Гопан"
	"Джагаит"
	"Джишну"
	"Махабала"
	"Пинак"
	"Ранджит"
	"Сатяджит"
	"Урджит"
	"Варун"
	"Вишваджит"
}


	ironclad = {
	"Акшат"
	"Аваниндра"
	"Дипендра"
	"Дебашиш"
	"Дурджая"
	"Илеш"
	"Джаганнат"
	"Мегхнад"
	"Парамджит"
	"Самрджит"
	"Судхир"
	"Виджай"
	"Викрант"
}


	monitor = {
	"Атул"
	"Чапал"
	"Карикея"
	"Махавир"
	"Начикета"
	"Праджит"
	"Рутуджит"
	"Шреяс"
	"Веер"
	"Юютсу"
}


	manowar = {
	"Падманабапурам"
	"Тируванантапурам"
	"Килиманор"
	"Коллам"
	"Кочи"
	"Мавеликкара"
	"Тхриссур"
}


	frigate = {
	"Абхай"
	"Ахилеш"
	"Балдев"
	"Чандреш"
	"Дуранджая"
	"Гаурав"
	"Джаянт"
	"Париндра"
	"Прабик"
	"Шатрунджай"
	"Випан"
	"Вирадж"
	"Юдхистхир"
}


	
	
	commerce_raider = {
	"Анупам"
	"Арихант"
	"Бхану"
	"Дхананджай"
	"Эмендра"
	"Джавахар"
	"Кушаль"
	"Макаранд"
	"Маниндра"
	"Нархари"
	"Низиш"
	"Ратнакар"
	"Шашват"
	"Срикант"
}


}
